iso3,cluster
ABW,0
AFG,2
AGO,3
AIA,0
ALB,0
AND,0
ARE,4
ARG,0
ARM,0
ASM,0
ATG,0
AUS,0
AUT,1
AZE,0
BDI,2
BEL,0
BEN,3
BES,0
BFA,3
BGD,1
BGR,0
BHR,0
BHS,0
BIH,0
BLM,0
BLR,0
BLZ,0
BMU,0
BOL,2
BRA,3
BRB,0
BRN,0
BTN,0
BWA,0
CAF,3
CAN,1
CHE,1
CHL,1
CHN,1
CIV,3
CMR,3
COD,3
COG,3
COK,1
COL,1
COM,2
CPV,0
CRI,0
CUB,0
CUW,0
CYM,0
CYP,0
CZE,1
DEU,1
DJI,0
DMA,0
DNK,1
DOM,0
DZA,0
ECU,2
EGY,1
ERI,0
ESP,1
EST,0
ETH,3
FIN,1
FJI,0
FLK,0
FRA,1
FRO,0
FSM,2
GAB,0
GBR,1
GEO,0
GGY,0
GHA,3
GIB,0
GIN,3
GLP,0
GMB,0
GNB,2
GNQ,0
GRC,1
GRD,0
GRL,0
GTM,0
GUF,0
GUM,0
GUY,1
HKG,1
HND,2
HRV,0
HTI,0
HUN,1
IDN,1
IMN,0
IND,1
IRL,0
IRN,1
IRQ,2
ISL,1
ISR,1
ITA,1
JAM,0
JEY,0
JOR,4
JPN,1
KAZ,0
KEN,3
KGZ,0
KHM,1
KIR,1
KNA,0
KOR,1
KWT,4
LAO,1
LBN,4
LBR,3
LBY,0
LCA,0
LIE,0
LKA,0
LSO,0
LTU,0
LUX,0
LVA,1
MAC,1
MAF,0
MAR,1
MCO,0
MDA,0
MDG,1
MDV,0
MEX,1
MHL,0
MKD,0
MLI,3
MLT,0
MMR,1
MNE,0
MNG,0
MNP,0
MOZ,2
MRT,0
MSR,0
MTQ,0
MUS,0
MWI,0
MYS,1
MYT,0
NAM,1
NCL,0
NER,3
NGA,3
NIC,2
NIU,0
NLD,1
NOR,1
NPL,0
NRU,1
NZL,0
OMN,4
PAK,1
PAN,0
PER,0
PHL,1
PLW,0
PNG,0
POL,0
PRI,0
PRK,1
PRT,1
PRY,0
PSE,0
PYF,0
QAT,4
REU,0
ROU,1
RUS,1
RWA,2
SAU,4
SDN,3
SEN,3
SGP,0
SLB,0
SLE,3
SLV,0
SMR,0
SOM,2
SPM,0
SRB,0
SSD,3
STP,0
SUR,0
SVK,0
SVN,1
SWE,0
SWZ,0
SXM,0
SYC,0
SYR,0
TCA,0
TCD,3
TGO,3
THA,1
TJK,0
TLS,0
TON,0
TTO,0
TUN,0
TUR,1
TUV,1
TWN,1
TZA,2
UGA,3
UKR,1
URY,0
USA,1
UZB,0
VAT,0
VCT,0
VEN,3
VGB,0
VIR,0
VNM,1
VUT,0
WLF,0
WSM,0
XXK,3
YEM,0
ZAF,2
ZMB,2
ZWE,2
